Well	Sample Name	Detector	Task	Ct	Avg Ct	Ct SD	Delta Ct	Qty	Avg Qty	Qty SD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Delta Rn values	0.019160796	0.06008968	0.019463917	0.040406175	-0.0473857	-0.052024327	0.001617037	0.06921185	-0.07693345	0.045644503	-0.108785845	-0.09354846	0.025320884	-0.098401144	-0.087221414	-0.033799395	-0.08044046	-0.12883462	-0.08304748	-0.066155955	-0.033148047	-0.115115836	-0.029229071	-0.10315261	-0.07404833	-0.086346634	-0.064259015	-0.06711952	-0.15076314	-0.006591624	-0.12534644	-0.16499278	-0.11539523	-0.09404075	-0.13916714	-0.019220145	-0.14020823	-0.1867742	-0.09701337	-0.12857828
Study Values	7.786043227	ANGP2	H2O control																																					
Study Stat Values	2	-22.99275774	 	9.646056482	6.82079195																																			
Study RQ Values	H2O control	1	1.46E-09	6.83E+08	0	0																																		
DDCT Values	21		H2O control	ANGP2	Target	1.1505071		-22.992758	9.646056	6.8207917	0	1	1.46E-09	6.83E+08	FALSE	0																								
22	H2O control	ANGP2	Target	40	7.786043	9.384066																																		
Rn values	3.9242833	3.9254272	3.875018	3.911198	3.9416802	3.961654	3.8814812	3.9599771	3.9324732	3.9694016	3.9415722	3.9218342	3.9373322	3.976366	3.9843984	3.9351022	3.9483006	3.9083977	3.9785604	3.8986518	3.883234	3.9993873	3.9915907	3.971735	3.988145	3.931923	3.9764278	3.9623294	3.956182	3.8975441	3.978587	3.9874916	3.9526694	3.9474356	3.9627147	3.9791367	3.9943962	3.9193828	3.9908504	3.956118
Delta Rn values	1.25E-04	-2.64E-06	-0.05168316	-0.016774347	0.01243674	0.031139288	-0.050304692	0.02692008	-0.001855093	0.03380212	0.004701502	-0.016307663	-0.002080945	0.03568174	0.042442854	-0.008124491	0.003802679	-0.037371453	0.031520113	-0.0496597	-0.06634872	0.048533313	0.039465584	0.01833864	0.033477545	-0.02401586	0.019217815	0.003848204	-0.003570387	-0.06347945	0.01629211	0.0239256	-0.012167831	-0.018672802	-0.004664952	0.010485875	0.024474174	-0.051810432	0.018386003	-0.017617546
DDCT Values	22		H2O control	ANGP2	Target	40									FALSE																									
23	H2O control	ANGP2	Target	14.421579	7.786043	9.384066																																		
Rn values	4.0943894	4.0376897	4.1385684	4.109117	4.153525	4.149639	4.0997777	4.0919156	4.1750646	4.120269	4.1163273	4.1399136	4.1815886	4.1463046	4.2041016	4.089652	4.0931134	4.1113153	4.1110573	4.1049213	4.181644	4.1726108	4.1021633	4.1274548	4.1359773	4.174861	4.1747403	4.1691766	4.1371408	4.16782	4.130643	4.19994	4.157944	4.1812577	4.175576	4.162556	4.1865163	4.1112375	4.1838503	4.144132
Delta Rn values	-0.027754238	-0.086183004	0.012966701	-0.01821368	0.024465153	0.018850395	-0.03274005	-0.04233115	0.039088793	-0.017435959	-0.023106506	-0.001249245	0.038696833	0.00168378	0.057751723	-0.05842679	-0.05669444	-0.040221624	-0.042208605	-0.050073557	0.024920056	0.01415784	-0.058018617	-0.034456186	-0.027662685	0.009491988	0.007642337	3.50E-04	-0.03341525	-0.004465035	-0.043371134	0.02419717	-0.019527843	0.002056667	-0.00535386	-0.020102909	0.002128193	-0.07487958	-0.003995827	-0.04544299
Study Values	7.786043227	ANGP2	H2O control																																					
Study Stat Values	2	-22.99275774	 	9.646056482	6.82079195																																			
Study RQ Values	H2O control	1	1.46E-09	6.83E+08	0	0																																		
DDCT Values	23		H2O control	ANGP2	Target	14.421579		-22.992758	9.646056	6.8207917	0	1	1.46E-09	6.83E+08	FALSE	0																								
24	Static Control	HPRT	Target	32.77672	34.94846	2.2975228																																		
Rn values	7.79E-04	0.041938175	0.06889136	0.095331445	0.11432237	0.12928815	0.13838294	0.14130223	0.1478944	0.15197271	0.15263043	0.15888253	0.15779829	0.16121258	0.16281584	0.17116526	0.17405996	0.17738098	0.17590773	0.17675957	0.1811131	0.1831598	0.18751198	0.18646152	0.18915774	0.190481	0.19439743	0.19678016	0.20258956	0.20506626	0.21269551	0.22327745	0.24163722	0.2715417	0.3306578	0.43180263	0.6056598	0.8553096	1.1528571	1.4025865
Delta Rn values	-0.10630717	-0.068775475	-0.045449715	-0.022637056	-0.007273557	0.004064797	0.00953216	0.00882402	0.011788763	0.01223965	0.009269946	0.011894614	0.00718295	0.006969811	0.004945646	0.009667638	0.00893491	0.008628506	0.003527832	7.52E-04	0.001478342	-1.02E-04	6.22E-04	-0.004055509	-0.004986719	-0.007290878	-0.007001877	-0.008246578	-0.006064608	-0.007215328	-0.003213509	0.003741005	0.018473344	0.04475042	0.10023908	0.19775648	0.3679862	0.6140086	0.90792865	1.1540306
DDCT Values	24		Static Control	HPRT	Target	32.77672									FALSE																									
25	Static Control	HPRT	Target	34.714764	34.94846	2.2975228																																		
Rn values	0.027152104	0.050483912	0.0678051	0.0756544	0.08132827	0.08648838	0.09229585	0.09605411	0.1009763	0.10353518	0.10899462	0.11403635	0.11601086	0.11437103	0.11780569	0.12173684	0.12336357	0.13001381	0.13063614	0.13069423	0.136419	0.13848807	0.13640076	0.14052662	0.14126559	0.1429623	0.14449918	0.15005928	0.15052249	0.15584141	0.1549445	0.16105112	0.16520856	0.1724227	0.19234188	0.21565636	0.26740736	0.36353242	0.5195643	0.78246844
Delta Rn values	-0.048427127	-0.027917014	-0.013417526	-0.008389915	-0.00553774	-0.003199328	-2.14E-04	7.23E-04	0.002823509	0.002560693	0.005198433	0.007418471	0.006571284	0.002109761	0.002722723	0.003832178	0.002637213	0.006465757	0.004266393	0.001502783	0.00440586	0.003653236	-0.001255769	4.84E-05	-0.002034333	-0.003159308	-0.004444127	-0.001705722	-0.004064215	-0.001566985	-0.005285597	-0.002000662	-6.65E-04	0.00372753	0.020825006	0.041317787	0.090247095	0.18355046	0.3367606	0.59684306
DDCT Values	25		Static Control	HPRT	Target	34.714764									FALSE																									
26	Static Control	HPRT	Target	37.3539	34.94846	2.2975228																																		
Rn values	-0.12240965	-0.11846851	-0.115771264	-0.114740625	-0.1125925	-0.109966934	-0.11109667	-0.11099194	-0.10965437	-0.109199084	-0.1075207	-0.10791493	-0.10764711	-0.10543459	-0.10550282	-0.1042837	-0.10385547	-0.104382284	-0.10297238	-0.10151903	-0.098929055	-0.1002359	-0.10093503	-0.09988671	-0.099280566	-0.09997933	-0.0968147	-0.09648728	-0.09619252	-0.09675053	-0.096533775	-0.094894424	-0.0934067	-0.091859736	-0.089781776	-0.08632157	-0.078931935	-0.06973727	-0.051818736	-0.019330874
Delta Rn values	-0.007038925	-0.003788389	-0.00178175	-0.001441716	1.58E-05	0.001950765	1.30E-04	-4.55E-04	1.92E-04	-4.38E-05	9.44E-04	-1.41E-04	-5.64E-04	9.58E-04	1.99E-04	7.28E-04	4.66E-04	-7.52E-04	-3.25E-05	7.30E-04	0.002629566	6.32E-04	-7.58E-04	-4.00E-04	-4.84E-04	-0.001873738	6.00E-04	2.37E-04	-1.59E-04	-0.001407353	-0.001881206	-9.32E-04	-1.35E-04	7.21E-04	0.002108373	0.004877974	0.011577004	0.020081064	0.037308995	0.06910625
DDCT Values	26		Static Control	HPRT	Target	37.3539									FALSE																									
27	Static Control	AXIN	Target	25.584724	27.135223	1.9434348																																		
Rn values	0.16136423	0.20120174	0.2274701	0.24556437	0.2645252	0.27572083	0.28720304	0.29396847	0.30503044	0.3107778	0.31884268	0.32365662	0.32868698	0.33430246	0.33991954	0.3464979	0.35343057	0.36029315	0.36324725	0.37364516	0.3869293	0.4066824	0.436026	0.49058163	0.59851414	0.7804979	1.0840508	1.4785886	1.9012194	2.3012722	2.6802003	3.0263438	3.3247924	3.5739555	3.8039315	3.9846842	4.110738	4.1922436	4.23261	4.254791
Delta Rn values	-0.069860384	-0.03802482	-0.019758409	-0.009666088	0.001292796	0.004486476	0.007966735	0.00673021	0.009790226	0.007535654	0.007598569	0.004410558	0.001438972	-9.48E-04	-0.003332373	-0.004755967	-0.005825242	-0.006964611	-0.012012465	-0.009616504	-0.004334308	0.007416841	0.028758496	0.07531217	0.17524272	0.34922454	0.64477545	1.0313113	1.4459401	1.837991	2.2089171	2.5470588	2.8375053	3.0786667	3.3006406	3.4733913	3.591443	3.6649468	3.6973114	3.7114902
Study Values	27.13522339	AXIN	Static Control																																					
Study Stat Values	4	-7.813237508	 	3.009244135	1.737387912																																			
Study RQ Values	H2O control	7844.132962	276.9796732	222147.7887	-12.93739827	-784313.2962																																		
DDCT Values	27		Static Control	AXIN	Target	25.584724		-7.8132377	3.0092442	1.7373879	0	7844.133	276.97968	222147.78	FALSE	-12.937398																								
28	Static Control	AXIN	Target	26.505516	27.135223	1.9434348																																		
Rn values	-0.053338636	-0.036994953	-0.025856126	-0.02244561	-0.013735237	-0.008225202	-0.004363924	-5.76E-04	0.003092761	0.008525321	0.008753366	0.01384549	0.01653721	0.01686389	0.018589314	0.022641495	0.026828796	0.028419508	0.030497223	0.036598325	0.03891596	0.051887047	0.06537659	0.09696526	0.14509663	0.24508314	0.42707157	0.7232974	1.1185185	1.5304632	1.9315735	2.297494	2.658302	2.9480753	3.2191482	3.4722712	3.668108	3.821857	3.909378	4.003508
Delta Rn values	-0.026629172	-0.013654595	-0.005884874	-0.005843463	-5.02E-04	0.001638734	0.002130906	0.002549726	0.00284938	0.004912835	0.001771774	0.003494793	0.002817407	-2.25E-04	-0.0018687	-0.001185624	-3.67E-04	-0.002145822	-0.003437212	-7.05E-04	-0.001756688	0.007845295	0.01796573	0.0461853	0.09094756	0.18756497	0.3661843	0.65904105	1.050893	1.4594686	1.8572098	2.2197611	2.5772002	2.8636043	3.131308	3.381062	3.5735297	3.7239096	3.8080616	3.8988225
Study Values	27.13522339	AXIN	Static Control																																					
Study Stat Values	4	-7.813237508	 	3.009244135	1.737387912																																			
Study RQ Values	H2O control	7844.132962	276.9796732	222147.7887	-12.93739827	-784313.2962																																		
DDCT Values	28		Static Control	AXIN	Target	26.505516		-7.8132377	3.0092442	1.7373879	0	7844.133	276.97968	222147.78	FALSE	-12.937398																								
29	Static Control	AXIN	Target	29.31543	27.135223	1.9434348																																		
Rn values	-0.10206082	-0.09936207	-0.096061215	-0.094540685	-0.0927695	-0.09031765	-0.088105716	-0.08818308	-0.087757796	-0.085711524	-0.08370242	-0.0834859	-0.08272251	-0.082637556	-0.08174763	-0.082378805	-0.08070093	-0.080206916	-0.07963185	-0.07789303	-0.07610277	-0.07397976	-0.07245413	-0.06909092	-0.059725173	-0.045172155	-0.013986101	0.04519139	0.14929675	0.31627974	0.5299608	0.7548	0.97744304	1.1978049	1.4016279	1.5886823	1.7695277	1.9255773	2.0734038	2.204621
Delta Rn values	-0.005739374	-0.004091132	-0.001840786	-0.001370764	-6.50E-04	7.51E-04	0.001912685	7.85E-04	1.60E-04	0.001155355	0.00211395	0.001279964	9.93E-04	2.73E-05	-1.33E-04	-0.001814968	-0.001187597	-0.001744093	-0.002219535	-0.001531225	-7.91E-04	2.81E-04	7.56E-04	0.003068863	0.011384101	0.024886612	0.055022158	0.113149144	0.21620399	0.38213646	0.59476703	0.8185558	1.0401483	1.2594596	1.4622321	1.648236	1.8280308	1.98303	2.129806	2.2599728
Study Values	27.13522339	AXIN	Static Control																																					
Study Stat Values	4	-7.813237508	 	3.009244135	1.737387912																																			
Study RQ Values	H2O control	7844.132962	276.9796732	222147.7887	-12.93739827	-784313.2962																																		
DDCT Values	29		Static Control	AXIN	Target	29.31543		-7.8132377	3.0092442	1.7373879	0	7844.133	276.97968	222147.78	FALSE	-12.937398																								
30	Static Control	THSB1	Target	40	15.077974	2.1531813																																		
Rn values	0.16011384	0.19236879	0.2184221	0.23897901	0.2555161	0.2688871	0.28231475	0.29316086	0.3049036	0.32048008	0.33620793	0.3667829	0.4172437	0.5010764	0.6457724	0.8831604	1.2336856	1.6961753	2.2204483	2.7305794	3.1629314	3.5117593	3.7444513	3.9079895	4.0257745	4.0870266	4.1086354	4.1389246	4.1493254	4.179168	4.1966033	4.1891294	4.205259	4.205514	4.208602	4.2268305	4.24507	4.250936	4.254128	4.271198
Delta Rn values	-0.016127475	0.016127475	0.042180784	0.062737696	0.079274796	0.09264579	0.10607343	0.11691954	0.12866229	0.14423877	0.15996662	0.1905416	0.24100238	0.3248351	0.4695311	0.7069191	1.0574443	1.519934	2.0442069	2.554338	2.98669	3.335518	3.56821	3.731748	3.849533	3.9107852	3.932394	3.9626832	3.973084	4.002927	4.020362	4.012888	4.0290174	4.0292726	4.0323606	4.050589	4.0688286	4.0746946	4.0778866	4.0949564
DDCT Values	30		Static Control	THSB1	Target	40									FALSE																									
31	Static Control	THSB1	Target	13.555446	15.077974	2.1531813																																		
Rn values	-0.04794843	-0.033958465	-0.020818444	-0.013720484	-0.00545703	1.56E-04	0.004481273	0.008157612	0.014372604	0.019906513	0.027332315	0.039803993	0.061271444	0.10040309	0.17084424	0.29430065	0.50147784	0.8179402	1.2426797	1.733272	2.2185767	2.6454563	2.988933	3.2481983	3.4268906	3.5408995	3.6096683	3.6502092	3.6774077	3.6881576	3.7026222	3.716043	3.7276938	3.7330081	3.7419925	3.7493427	3.7542455	3.756665	3.761779	3.7666266
Delta Rn values	-0.018012963	-0.009626677	-0.002090337	-5.96E-04	0.002063716	0.002073224	7.95E-04	-0.001132685	-5.21E-04	-5.91E-04	0.001230977	0.008098974	0.023962744	0.057490714	0.12232818	0.24018091	0.4417544	0.75261307	1.1717489	1.6567374	2.1364386	2.5577145	2.8955877	3.149249	3.3223376	3.430743	3.493908	3.5288453	3.55044	3.5555863	3.5644472	3.5722644	3.5783114	3.5780222	3.5814028	3.5831494	3.5824485	3.5792642	3.5787747	3.5780184
Study Values	15.0779748	THSB1	Static Control																																					
Study Stat Values	3	-19.8704861	 	3.148777732	2.019314747																																			
Study RQ Values	H2O control	226387.3577	2632.237098	1.95E+07	-17.78843387	-2.26E+07																																		
DDCT Values	31		Static Control	THSB1	Target	13.555446		-19.870485	3.1487777	2.0193148	0	226387.36	2632.237	1.95E+07	FALSE	-17.788433																								
32	Static Control	THSB1	Target	16.600504	15.077974	2.1531813																																		
Rn values	-0.19599672	-0.19686233	-0.19597284	-0.19463612	-0.19226792	-0.19065619	-0.1890001	-0.18822543	-0.18666084	-0.1877559	-0.18693943	-0.18457127	-0.18350847	-0.17688769	-0.16845395	-0.15279005	-0.122801766	-0.07129416	0.028429441	0.19260164	0.45046294	0.79727155	1.2009401	1.61164	1.9819611	2.2886589	2.543908	2.7315261	2.8661175	2.947782	3.0147953	3.038655	3.0622492	3.0822523	3.0877917	3.0956702	3.1076963	3.1104054	3.1175659	3.116299
Delta Rn values	0.002264179	4.25E-05	-4.24E-04	-4.44E-04	5.69E-04	8.24E-04	0.001124226	5.43E-04	7.51E-04	-0.001699856	-0.002239486	-0.001227414	-0.001520713	0.003743972	0.010821621	0.025129419	0.053761613	0.10391312	0.20228063	0.36509672	0.62160194	0.9670544	1.3693669	1.7787107	2.1476758	2.4530175	2.7069106	2.8931725	3.0264077	3.1067162	3.1723733	3.194877	3.2171152	3.2357621	3.2399454	3.2464678	3.2571378	3.2584908	3.264295	3.261672
Study Values	15.0779748	THSB1	Static Control																																					
Study Stat Values	3	-19.8704861	 	3.148777732	2.019314747																																			
Study RQ Values	H2O control	226387.3577	2632.237098	1.95E+07	-17.78843387	-2.26E+07																																		
DDCT Values	32		Static Control	THSB1	Target	16.600504		-19.870485	3.1487777	2.0193148	0	226387.36	2632.237	1.95E+07	FALSE	-17.788433																								
33	Static Control	ANGP2	Target	25.094212	26.68248	1.7436807																																		
Rn values	0.030995931	0.04162357	0.05514124	0.064455085	0.07381519	0.07804693	0.08217404	0.08545093	0.09101273	0.09412918	0.095255084	0.09769892	0.099512614	0.09921736	0.10405502	0.10504742	0.10607893	0.10731051	0.109699816	0.11319757	0.11527463	0.12007471	0.12826288	0.1372466	0.15533754	0.18366657	0.22930782	0.3040523	0.42312244	0.6061371	0.8565874	1.1619893	1.479769	1.7666963	2.0031185	2.1902983	2.321429	2.415778	2.4773464	2.5152361
Delta Rn values	-0.03120325	-0.023427706	-0.01276213	-0.006300381	2.08E-04	0.001587276	0.002862288	0.003287085	0.005996788	0.006261144	0.004534951	0.004126691	0.003088291	-5.91E-05	0.001926503	6.68E-05	-0.001753775	-0.003374289	-0.00383708	-0.003191419	-0.003966456	-0.00201847	0.003317601	0.009449221	0.024688074	0.05016501	0.09295416	0.16484654	0.2810646	0.46122715	0.70882535	1.0113752	1.3263028	1.610378	1.8439481	2.0282757	2.1565545	2.2480512	2.3067677	2.3418052
Study Values	26.68247795	ANGP2	Static Control																																					
Study Stat Values	4	-8.265982946	 	2.884273506	1.665236085																																			
Study RQ Values	H2O control	3.69E-05	1.50E-06	9.09E-04	14.72677479	99.99631193																																		
DDCT Values	33		Static Control	ANGP2	Target	25.094212		-8.265983	2.8842735	1.6652361	0	3.69E-05	1.50E-06	9.09E-04	FALSE	14.726775																								
34	Static Control	ANGP2	Target	26.40494	26.68248	1.7436807																																		
Rn values	-0.14209251	-0.14101563	-0.13736095	-0.13499212	-0.13422513	-0.13214807	-0.12746212	-0.12788151	-0.12416413	-0.12034924	-0.11828943	-0.1214166	-0.111729376	-0.11951643	-0.11762592	-0.11441442	-0.11400772	-0.11630262	-0.11953002	-0.120572686	-0.117176294	-0.1128695	-0.1103687	-0.10750232	-0.098127544	-0.08621541	-0.06735093	-0.034464702	0.021977143	0.11605783	0.2714807	0.514376	0.8726942	1.3181546	1.7953197	2.2305055	2.5972013	2.8780935	3.0841124	3.2076375
Delta Rn values	-0.007057064	-0.00711064	-0.004586404	-0.003348034	-0.003711494	-0.002764889	7.91E-04	-7.59E-04	0.001827698	0.004512128	0.005441485	0.001183868	0.009740638	8.23E-04	0.001583186	0.003664231	0.002940483	-4.85E-04	-0.004842726	-0.007015842	-0.004749903	-0.001573563	-2.03E-04	0.001532714	0.009777037	0.02055872	0.038292743	0.07004852	0.12535991	0.21831015	0.37260258	0.61436737	0.9715552	1.4158851	1.8919197	2.3259752	2.6915405	2.9713023	3.1761906	3.2985854
Study Values	26.68247795	ANGP2	Static Control																																					
Study Stat Values	4	-8.265982946	 	2.884273506	1.665236085																																			
Study RQ Values	H2O control	3.69E-05	1.50E-06	9.09E-04	14.72677479	99.99631193																																		
DDCT Values	34		Static Control	ANGP2	Target	26.40494		-8.265983	2.8842735	1.6652361	0	3.69E-05	1.50E-06	9.09E-04	FALSE	14.726775																								
35	Static Control	ANGP2	Target	28.548283	26.68248	1.7436807																																		
Rn values	-0.22540459	-0.21273893	-0.20564152	-0.1987459	-0.19231786	-0.18780522	-0.18731843	-0.18808056	-0.18928152	-0.18888995	-0.18779425	-0.1885364	-0.18819249	-0.18845609	-0.18637851	-0.18656407	-0.18524851	-0.18419547	-0.18148127	-0.18187982	-0.1814427	-0.18122767	-0.17933431	-0.17754173	-0.17615011	-0.17181599	-0.16648261	-0.15637404	-0.13688365	-0.104134515	-0.044849556	0.055282418	0.22192527	0.48066452	0.8344408	1.2382354	1.6411821	1.9811243	2.2535293	2.4580748
Delta Rn values	-0.02734927	-0.015575609	-0.009370199	-0.00336658	0.00216947	0.00579011	0.005384903	0.003730771	0.001637814	0.001137389	0.001341088	-2.93E-04	-8.41E-04	-0.001996741	-8.11E-04	-0.001888721	-0.001465155	-0.001304117	5.18E-04	-7.72E-04	-0.00122733	-0.001904304	-9.03E-04	-2.36E-06	4.97E-04	0.003939382	0.008380763	0.01759734	0.036195733	0.068052866	0.12644583	0.2256858	0.39143667	0.6492839	1.0021682	1.4050708	1.8071254	2.1461756	2.4176886	2.6213422
Study Values	26.68247795	ANGP2	Static Control																																					
Study Stat Values	4	-8.265982946	 	2.884273506	1.665236085																																			
Study RQ Values	H2O control	3.69E-05	1.50E-06	9.09E-04	14.72677479	99.99631193																																		
DDCT Values	35		Static Control	ANGP2	Target	28.548283		-8.265983	2.8842735	1.6652361	0	3.69E-05	1.50E-06	9.09E-04	FALSE	14.726775																								
36	Static Drug	HPRT	Target	40	37.43412	1.4560179																																		
Rn values	-0.035611268	0.002567441	0.028829942	0.04768909	0.062355842	0.075751096	0.08338334	0.09197675	0.098581314	0.10024633	0.10282594	0.10901438	0.111077234	0.112798326	0.11278771	0.11797109	0.122664645	0.12583458	0.12653776	0.12566358	0.12906843	0.13273405	0.13256776	0.13328192	0.13653424	0.13501775	0.13990654	0.14073138	0.13991088	0.14319582	0.14821143	0.14886147	0.15002505	0.14771284	0.14984037	0.15295492	0.15226912	0.15116003	0.15233971	0.15284596
Delta Rn values	-0.10471362	-0.06912346	-0.045449506	-0.029178904	-0.017100701	-0.006293996	-0.001250304	0.004754558	0.008770578	0.007847047	0.007838107	0.011437995	0.010912305	0.010044848	0.007445682	0.010040518	0.012145523	0.012726913	0.010841536	0.007378811	0.008195119	0.009272181	0.006517351	0.004642956	0.005306735	0.001201696	0.003501936	0.001738226	-0.001670825	-9.74E-04	0.001452637	-4.86E-04	-0.00191084	-0.006811601	-0.007272621	-0.006746618	-0.010020962	-0.013718604	-0.015127472	-0.017209768
DDCT Values	36		Static Drug	HPRT	Target	40									FALSE																									
37	Static Drug	HPRT	Target	36.40456	37.43412	1.4560179																																		
Rn values	-0.077606894	-0.07749598	-0.073212445	-0.070498206	-0.06712049	-0.06691194	-0.063662276	-0.062436715	-0.057979226	-0.05791765	-0.05464892	-0.0527137	-0.051151194	-0.049097944	-0.04927259	-0.044538714	-0.04263996	-0.043995094	-0.040798005	-0.03864511	-0.03755296	-0.037369676	-0.037584294	-0.03571738	-0.035027	-0.03376498	-0.03368878	-0.029974224	-0.030298358	-0.02901546	-0.026737284	-0.025411686	-0.022311578	-0.018371709	-0.015154893	-0.006535523	0.008327588	0.034959458	0.08640075	0.17808609
Delta Rn values	-0.005452326	-0.0069338	-0.004242659	-0.003120811	-0.001335489	-0.002719331	-0.001062054	-0.001428884	0.001436213	-9.46E-05	0.001581736	0.001924567	0.001894681	0.00235554	5.89E-04	0.003729988	0.004036351	0.001088826	0.002693524	0.003254026	0.002753786	0.00134468	-4.62E-04	-1.88E-04	-0.001089819	-0.00142019	-0.00293638	-8.14E-04	-0.00273074	-0.003040232	-0.002354448	-0.002621241	-0.001113524	0.001233954	0.002858379	0.009885358	0.023156079	0.048195556	0.098044455	0.1881374
DDCT Values	37		Static Drug	HPRT	Target	36.40456									FALSE																									
38	Static Drug	HPRT	Target	38.46368	37.43412	1.4560179																																		
Rn values	-0.10071716	-0.09917647	-0.094800316	-0.09281138	-0.09149034	-0.0911892	-0.088254705	-0.08855494	-0.086218946	-0.08469459	-0.08331879	-0.08229281	-0.08181699	-0.08236316	-0.07896256	-0.07749416	-0.076109126	-0.07786307	-0.07518638	-0.07501968	-0.075822756	-0.07375645	-0.07250012	-0.07133909	-0.07013704	-0.06980717	-0.06833329	-0.069027364	-0.06767957	-0.06583671	-0.065682426	-0.0633903	-0.06421746	-0.060699027	-0.057806086	-0.056220114	-0.05237319	-0.047555473	-0.03982861	-0.025069451
Delta Rn values	-0.005947594	-0.00542192	-0.002060785	-0.001086869	-7.81E-04	-0.001494716	4.25E-04	-8.90E-04	4.30E-04	9.40E-04	0.00130061	0.001311576	7.72E-04	-7.89E-04	0.00159678	0.002050162	0.002420179	-3.49E-04	0.001312894	4.65E-04	-0.001353515	-3.02E-04	-6.09E-05	8.51E-05	2.72E-04	-4.13E-04	4.59E-05	-0.001663236	-0.001330457	-5.03E-04	-0.001363347	-8.62E-05	-0.001928416	5.75E-04	0.002452929	0.003023885	0.005855794	0.009658494	0.016370341	0.030114483
DDCT Values	38		Static Drug	HPRT	Target	38.46368									FALSE																									
39	Static Drug	AXIN	Target	25.072416	26.696854	1.5044255																																		
Rn values	0.1451458	0.16092327	0.1750724	0.18521826	0.19550519	0.20547351	0.21375325	0.21848828	0.22529022	0.23445721	0.24101363	0.24440679	0.25060233	0.25455502	0.2590689	0.26451045	0.26847908	0.2782429	0.28044197	0.2890863	0.30473652	0.328887	0.36830288	0.43484887	0.57433945	0.79886013	1.1412544	1.5401986	1.922308	2.2938008	2.6444764	2.9629126	3.2521236	3.5091612	3.7154894	3.8878548	4.032117	4.122201	4.1894803	4.2279315
Delta Rn values	-0.026662944	-0.017202126	-0.009369648	-0.005540441	-0.001570165	0.002081509	0.004044599	0.002462971	0.002948268	0.005798603	0.006038373	0.00311488	0.002993774	6.30E-04	-0.001172956	-0.002048061	-0.004396085	-9.49E-04	-0.005066497	-0.002738806	0.006594756	0.024428567	0.05752781	0.11775716	0.25093108	0.4691351	0.80521274	1.1978402	1.573633	1.9388092	2.283168	2.5952876	2.878182	3.128903	3.3289144	3.4949632	3.6329088	3.7166762	3.777639	3.8097734
Study Values	26.69685364	AXIN	Static Drug																																					
Study Stat Values	3	-10.73726654	 	2.093629441	1.347006337																																			
Study RQ Values	H2O control	59534.04529	3050.124421	1162019.006	-15.86142731	-5953304.529																																		
DDCT Values	39		Static Drug	AXIN	Target	25.072416		-10.737267	2.0936294	1.3470063	0	59534.047	3050.1245	1162019	FALSE	-15.861427																								
40	Static Drug	AXIN	Target	26.97597	26.696854	1.5044255																																		
Rn values	-0.108387426	-0.10316558	-0.09755617	-0.09695707	-0.09172638	-0.09212492	-0.08787065	-0.083768606	-0.07900159	-0.0805495	-0.07616977	-0.07552175	-0.075959116	-0.07417626	-0.07032552	-0.07127234	-0.06945591	-0.067039214	-0.06555432	-0.06507305	-0.056758072	-0.048610363	-0.042355955	-0.021090418	0.01699008	0.08801572	0.21796805	0.4464586	0.78768384	1.1785823	1.5599438	1.9218132	2.2685885	2.5583906	2.8310113	3.0871694	3.2965362	3.468299	3.5982232	3.7086973
Delta Rn values	-0.007667329	-0.004571274	-0.001087647	-0.002614341	4.91E-04	-0.002033762	9.47E-05	0.002070971	0.004712198	0.001038499	0.003292445	0.001814671	-7.48E-04	-0.001091414	6.34E-04	-0.002439075	-0.002748427	-0.002457523	-0.003098418	-0.004742936	0.001446254	0.007468174	0.011596794	0.030736541	0.06669125	0.1355911	0.26341763	0.48978242	0.82888186	1.2176546	1.5968902	1.9566339	2.3012834	2.5889597	2.8594546	3.113487	3.3207278	3.4903648	3.6181633	3.7265117
Study Values	26.69685364	AXIN	Static Drug																																					
Study Stat Values	3	-10.73726654	 	2.093629441	1.347006337																																			
Study RQ Values	H2O control	59534.04529	3050.124421	1162019.006	-15.86142731	-5953304.529																																		
DDCT Values	40		Static Drug	AXIN	Target	26.97597		-10.737267	2.0936294	1.3470063	0	59534.047	3050.1245	1162019	FALSE	-15.861427																								
41	Static Drug	AXIN	Target	28.042175	26.696854	1.5044255																																		
Rn values	-0.1436901	-0.1417236	-0.13867931	-0.13655388	-0.13632551	-0.13226905	-0.13135208	-0.12988874	-0.1283827	-0.12957549	-0.12705967	-0.1254439	-0.12490067	-0.124890916	-0.12278173	-0.12170628	-0.11991676	-0.11819454	-0.11716619	-0.11562943	-0.112585455	-0.108737245	-0.104090795	-0.09385815	-0.0755045	-0.04153654	0.026042154	0.1491579	0.36230445	0.6766565	1.0361255	1.3938004	1.7307221	2.0464058	2.3252375	2.583002	2.8094673	3.007901	3.173851	3.3029957
Delta Rn values	-0.002977731	-0.002368665	-6.82E-04	8.62E-05	-0.001042844	0.001656185	0.001215732	0.001321646	0.001470267	-0.001079951	7.84E-05	3.37E-04	-4.77E-04	-0.001825075	-0.001073315	-0.001355286	-9.23E-04	-5.58E-04	-8.87E-04	-7.08E-04	9.78E-04	0.003469197	0.006758223	0.01563344	0.032629672	0.065240204	0.13146147	0.25321978	0.4650089	0.7780035	1.1361152	1.4924326	1.8279969	2.1423233	2.4197974	2.6762047	2.9013124	3.0983887	3.2629812	3.3907685
